Code departement;Population
01;666971
02;524723
03;333500
04;166198
05;140078
06;1106233
07;331214
08;266690
09;154424
10;312183
11;378330
12;279639
13;2061919
14;699791
15;143803
16;351283
17;662822
18;298249
19;237790
2A;162924
2B;185906
21;535786
22;606868
23;114142
24;411988
25;548458
26;521319
27;597425
28;429570
29;923400
30;755497
31;1452541
32;192553
33;1673755
34;1218474
35;1108972
36;216241
37;616107
38;1288501
39;257304
40;425229
41;327388
42;770678
43;227097
44;1480188
45;685081
46;175196
47;329180
48;76572
49;825814
50;493646
51;565024
52;168881
53;305719
54;730393
55;179626
56;772967
57;1050548
58;199379
59;2607165
60;831729
61;274595
62;1456588
63;666796
64;694659
65;230404
66;488379
67;1161777
68;768496
69;1908625
70;232619
71;548526
72;567053
73;444872
74;853015
75;2117702
76;1254286
77;1444389
78;1457312
79;374142
80;565278
81;393436
82;264886
83;1102074
84;563315
85;704121
86;440868
87;370726
88;357864
89;331017
90;137917
91;1312419
92;1637090
93;1673645
94;1420404
95;1266471
